num_of_morning_visits,num_of_evening_visits,num_of_afternoon_visits,num_of_visits_in_weekdays,num_of_visits_in_weekends,business_id
8,0,2,8,2,"7wT532x2Qz5Hw9BqtBapqw"
9,0,5,13,1,"kKmvSJ6Z8UVPdrnL74bqrg"
25,3,6,22,12,"ucKQlQvOeJxETLNkpKcaSw"
0,7,2,6,3,"Rjx8GcWuCzfVsKC5iPIcQA"
2,1,15,14,4,"s74Tq6WKV1b91UFRr7ch7g"
4,15,14,30,3,"ZL6DNzyenFm9Kpz6uADlNg"
25,13,22,34,26,"BG4N0V93wml9kaU6YYRxRA"
0,0,0,0,0,"rM-yscH8mBLYvpWnmvuPMw"
2,2,0,3,1,"OcTG-KzDleuRub-pb6JS3Q"
2,1,6,4,5,"Y2p07YEC8xOsYTHWf0UxiA"
4,2,7,11,2,"g58NW9q4F09wTMiI7EIjmg"
2,1,6,3,6,"Pu5uzlZ05pqVlx6LcZbfgw"
28,2,186,207,9,"VkFDer80GOrelWALdgNReg"
7,0,9,10,6,"vXBc-i30S0eypUVy7TA6cw"
0,0,0,0,0,"UFhcxnTzfLO-ROftyP_ukw"
127,13,43,129,54,"83_p9vIqOq1TUIf3_GD7bA"
6,1,17,16,8,"1xRLO1NM8-3soskp2fEgyw"
68,66,424,439,119,"Ts4xsKPU7FNPPZRj-nRjIg"
3,2,6,8,3,"UtWJ8NGMg-3z28s0RzlUoQ"
1,0,2,2,1,"Nnk1gNKSi_12ziNuK2llxA"
0,0,3,1,2,"Px-EjhtV9XJcEs1ty4giAg"
3,0,2,2,3,"t15LDNaHFpu-bAEJSdoV-g"
8,0,2,7,3,"bZcqORBnVApUA2-SEn7VEQ"
7,1,2,10,0,"WWlNzfSllSQhr4whj0W_ng"
2,8,8,16,2,"R03p_2AxXpNtM31lutbnkA"
28,0,7,33,2,"YMEtEsUDQKOYJOcE5Fx3gQ"
9,0,3,10,2,"-raHHPz6kBnQgBH-oCuDFA"
16,0,10,23,3,"1IwQhGGOrVNGGQskR_3uLw"
0,34,3,35,2,"ZDKi3qsO8lSSogrIdbLJKg"
118,21,108,150,97,"qA1PXTv0snTO1gpNPm-Jfw"
16,2,34,47,5,"riqqVx-LssGUErBeQisKng"
3,3,11,12,5,"B9C6j80ob0f1pwi1Cnnd1Q"
523,84,368,670,305,"wfCLz9-aeShbPB7CaTY-qQ"
4,0,8,10,2,"XC9blQA9Mk4w7oKVJ0nJXw"
69,70,97,156,80,"2SwC8wqpZC4B9iFVTgYT9A"
128,3,34,97,68,"PzG0XmAmtXFs6Fdnubf41g"
7,6,14,18,9,"lHP5STO7aomlEQixH8m1aA"
0,0,0,0,0,"0TvxDhCKPQ-_dDyffEnJQQ"
137,20,76,150,83,"-iVcmhjfq79QoTWzrb6pKg"
53,0,22,48,27,"PavTvJ4JSe9rAwjlr-wrsg"
8,15,18,30,11,"5V1K5DRpGrObijbtCuPbcg"
3,12,19,30,4,"l_Wey2YC6NvVUIH8vTygGg"
24,2,16,32,10,"XWLtYPhCpHht5Zn52zp3-Q"
25,0,6,27,4,"cuuJJ9W3tYmidaLvlzvPBw"
29,216,119,242,122,"2PfavOTufsPCRdYm-bFcpw"
6,29,38,61,12,"qUeBDN0D8SC93KeAHhiL-g"
0,0,4,4,0,"VkqKyq09rDYMhFk5nElWWA"
13,2,3,11,7,"QIJa5h2d65Bgh82zct7c7A"
5,1,4,9,1,"PTkChuI3GPCw-ZL1Iph76A"
0,66,28,82,12,"YRDKsBFYP7G0E8BLJKIkvA"
56,30,82,108,60,"IxQ1ATP_Wg_QujO9nywzcQ"
1,4,4,8,1,"TyIsuojeKcTb4Acfg7xqew"
4,0,1,3,2,"oj8bMz76cKXQClpFTFNW9w"
11,15,19,36,9,"hBAcj7X5JHeX2hvmptwH-w"
6,3,13,18,4,"k1A8pNspBPinGDivxkuDSA"
27,0,19,31,15,"Z7HNl4Gz00cA0_wt0S-vSw"
5,9,14,25,3,"OjzR6hUYasFReo0vhVn0-w"
2,12,10,9,15,"6AnorAMPkTdSDbUkOoV1Rw"
4,4,11,15,4,"0Ov1O2Gd0dwjkSaj5NJbhg"
61,5,30,69,27,"EEuGTah-oEssSl3o6pK-ZQ"
2,0,1,3,0,"49nxzKLr2qQnLF58qo2p1w"
11,11,39,53,8,"q_BKmbdlYfQJroJVHfYMUQ"
1,1,1,2,1,"zq--BGVHu7_fb1VHEwg2ow"
11,3,11,16,9,"cZl7-Um4HiJWFgDVmMan2Q"
1,5,0,5,1,"vMCCvnDU-Iz_D_pmbcMqzA"
4,0,2,5,1,"hUV4bjXE8Ijd-pDNr8S6mA"
29,15,63,76,31,"Z101WZaISochG6g7tI2ZVw"
98,4,41,109,34,"-Gfj1gA0Ir07zToO-4fBpw"
0,2,1,2,1,"Eixtf79t1_ZKaC-7J2kAWg"
7,0,4,9,2,"Z0OGW8PysysRXE0dR7QxQQ"
36,16,18,32,38,"5GS5sBSscgcex0IFTDL9Bg"
2,0,2,3,1,"URGZtJhOCrbJ8-RkLvslOg"
34,26,74,92,42,"fB7XYJYrTtchlTmzSQVMbQ"
3,1,1,5,0,"obAdXU3RULuUOww759_h_w"
1,6,2,8,1,"YUZVBdGmagwXV-yOhR-1GQ"
0,0,14,9,5,"OIL-eZX8d10jgWPLW-E7zA"
18,0,1,18,1,"N2DwycuZl95miWf39Yskaw"
3,2,4,6,3,"PSlOtPIo28BvWOzdLmRRRQ"
1,1,1,3,0,"H9R8b2pgn3NQhQHesEUEiQ"
0,38,9,45,2,"7KjZ49Xrb6QWjnu5NlxzVw"
6,0,5,10,1,"Wnn1GtvvtnkFdPfdRcYW-Q"
59,43,73,129,46,"9NL2GL4jSPVj9SKijH5PqA"
52,10,14,61,15,"uie9L4ZrCvDdkSdByOVTLQ"
3,3,4,10,0,"wan0X-oHpLgGTPXqaICZCw"
13,0,5,18,0,"05l84gPaZX2IWaIaoAq3hg"
3,6,16,20,5,"QnyzlVMyx0Exri-Lay10cA"
0,3,5,5,3,"81sqVj0xHyJXGYT0ip5fmQ"
3,4,4,8,3,"Wn5bLgkx_S7W1q2TeoLL1g"
34,25,6,52,13,"m61vZsAxmTEq3uiCjFjM8Q"
10,0,1,9,2,"WY6FFxpa6ztwDH5OhS6WDw"
0,3,2,3,2,"nvrXLcmknaYuiGRquWhwIQ"
46,23,37,89,17,"93UCt9OgWYmypZCpXtUu8g"
0,0,0,0,0,"WYXbVUx79W30tW9PI9phIA"
2,9,10,12,9,"LV_OCiR9rOHVHgdhbpqw2Q"
4,3,8,12,3,"cRv7pLvIe3eI0efndQBcLg"
15,18,14,32,15,"ORTRrw3ClZ0Ld0LgY1H_5g"
5,13,13,23,8,"9aw0t0rlACKkMaxsX0KlKA"
6,0,10,12,4,"-xymuZ9qLUwGQBD9FxldGQ"
27,49,44,89,31,"5Udv4CASAXB2eH66TefWPQ"
3,0,1,1,3,"l4zq494c6zfNUJrMcd9Y1w"
365,7,7,244,135,"2Igiyhi82R8_QaaPplRmCw"
21,10,33,51,13,"Cex2R008tMFg8R5fAtf77w"
1,0,2,3,0,"BrzQp0bjp0cwmUzXxLszjQ"
40,1,9,37,13,"n7G2XFGvmS3duDJ4AzjKiQ"
2,0,3,1,4,"8tBfgYCI6Fz9xrSYCYCYXA"
2,2,2,5,1,"Tb7hQ37UFA2QFaMwjFieQw"
3,3,4,8,2,"21hqlWgjmNgW4pBZJDuziQ"
25,33,49,85,22,"qemCNgjeYGcFsRwxW9x4xw"
0,1,4,3,2,"iudRNo5Q8W7firUBYJEqQQ"
5,1,4,5,5,"9rbWt_PX8qVVN-nEJv3A9Q"
21,4,8,27,6,"oTojBCc-Lex09Fww3QmWWg"
1,0,3,2,2,"WxN-aV_puFazt3UGNLlw0A"
121,168,256,376,169,"2X5G4Ujq0s4Wfn4TC7gX0g"
1,8,3,9,3,"evIbqjnN4ePd9eT4L4WsIw"
0,6,4,9,1,"7lDNKKxMV84KIS1OVZOepw"
7,13,16,30,6,"XQ7elqSFIRogvqpiTZz-Wg"
11,8,21,31,9,"JL5B_s1EoN4zIru4JSw4Qg"
6,1,5,6,6,"D9sHwmqlNkrVxmX-057i1g"
16,2,10,15,13,"DzOPHyrG2XuVqKEvHCnN7w"
16,2,16,20,14,"_8xYpVdKMllhuuf4PIvq8w"
2,5,2,8,1,"K8Ebs8G1rwc3DBdznHvDxg"
13,3,16,27,5,"SNJHgqJPj5SZhntFdsDUeg"
1,2,1,2,2,"IraPoq6RFLTX9KCuT0UsGw"
8,14,13,28,7,"h3la53L9-OX_HlfeAySh0Q"
6,2,1,6,3,"eXWCtwGcaJgMz6WRNR9Beg"
11,14,34,44,15,"1vQLTKwmcmZXtNzfKEvMmA"
50,93,160,228,75,"hhNlQWaKqGbMPoeZHoL-IQ"
7,0,2,8,1,"EiKoZpEcjG1B_r8G9laAxg"
23,15,31,44,25,"zvqxmVZgJ0XpJfb1Xn5jKQ"
15,14,25,39,15,"SgQYRICpMdWCmY7wM2Cmcw"
45,0,1,32,14,"uwiD9jxs09xxXG0by_xKuA"
34,4,7,34,11,"f0eAe5PZMy_MEvxEEBYAcQ"
52,3,19,54,20,"sNmQJQWEVGheCnw5Tf4Phg"
2,0,6,4,4,"jrSGpWnVJy8jqgN6XSC7Nw"
27,21,32,60,20,"KZXtzoI84iI1CEcAnD7OPA"
34,0,3,31,6,"zhQzX3CxM0tdBXwGUWmxGA"
5,1,4,6,4,"c1ixeRdwTvNt6YLew-sSCg"
6,7,8,16,5,"AJiwOb0s5zpYu0NW7Jvrpg"
51,20,38,73,36,"zpNGtjBlIkDq_PLGSCPlAg"
12,3,4,13,6,"chDzLfj8CqvsJq4wzW1ZqQ"
11,6,3,16,4,"Ml6Up5SH9GbJQ8oyIJsj_g"
29,0,6,28,7,"ZS7-I04iDm4oRP_GJsJqrA"
45,1,1,38,9,"xSYGuHecEWP7At0HYbO5Jg"
273,6,66,261,84,"7ijQJV72aBrEoJCtTBCHxw"
7,0,3,7,3,"OmpbTu4deR3ByOo7btTTZw"
45,1,12,56,2,"ih6d7hBWss05xXWUznuFaw"
2,0,1,3,0,"oH-N5ONrsWK8jWuq8p653w"
42,52,80,121,53,"FtjvnLhh51ZBYEpKAARaFQ"
20,44,61,97,28,"z4cCguoHdU48pj6sXMIzqg"
3,39,23,62,3,"sbTF0cLKZH6_BP8BLARVDg"
42,136,191,335,34,"OxIeMVcop5oxBUWANi-1Rw"
29,0,2,23,8,"imzKM9-mgN1Yk_RIXx3IgA"
9,3,6,13,5,"1n0n_-Iz0e3iVpH8sereiA"
5,0,0,4,1,"IEHaU93HpEbdUO4z4bKzDw"
9,0,4,10,3,"9D4PMia-8WqCYXnr7TM0Pw"
7,0,1,6,2,"Jj7EE1vPUaKHykA7WzlIew"
263,111,227,416,185,"NeUf9FyCCIN4MEseNyqkXQ"
10,0,1,8,3,"JcP-IIrZkW_Yyv4a0yLRCw"
4,2,3,7,2,"4LcFKTr6Ah87VcxW2z5e6w"
136,2,25,107,56,"buVALudg30kgkDusqB3yJw"
129,49,129,215,92,"wHi8ODv7TGmeUB02XoX-mA"
133,1,31,137,28,"J7I85lTCEGr9-qp6AXPUjQ"
31,9,15,47,8,"WXpi9z1bqF9raZSW8z70Ow"
11,0,5,12,4,"DhDNNHZtaBxYNSqJz64ixg"
15,10,18,30,13,"PxP19Rb88OQKiSMl2oWNsg"
33,25,104,106,56,"9mwShpTgZofOujt4JfyGmw"
6,1,8,14,1,"porUqRPcw8GoTSvZoMH0ag"
2,20,45,55,12,"90Fqfzd8zD9AuuNBSv9lAg"
11,0,4,13,2,"DHAq_WmQwjk7gviKXwqnjg"
17,0,0,14,3,"shrMOQmX_SX-KualwYoAzA"
0,5,3,7,1,"BdTRQw4z-bxVfDlv-JSb7g"
7,0,8,13,2,"lRM-3Fwp3RkK-wecxO8P8w"
0,0,0,0,0,"cWe1Xoczmj2vD5h6BOrZYg"
17,0,3,17,3,"KEzIorUdFjqCuxbRxKPghA"
3,1,23,24,3,"f0lx8pPqhcMUCJgURzMUSw"
24,0,1,24,1,"pvGT62T6Ci1LKOS9DL42pg"
163,0,14,130,47,"SWzCFTM7KHc-MncD6xxOYQ"
5,0,3,8,0,"_JFJMiT1xo4A-F0LiG_0WQ"
5,10,21,35,1,"aqNwplp89UTe8dfGXj_yKA"
7,0,1,6,2,"OT3yVpDrDVITDCIYox8d9A"
82,2,50,86,48,"lVB0HB2PxC9OTtMcz0wagA"
5,0,1,3,3,"-yB1gsnF4gROLFWzZEImzg"
13,1,2,11,5,"8AskFIgGxqNb8RbcDCAfmA"
13,0,2,13,2,"A2XkbJ07hrR80t0EFgLikQ"
1,1,1,1,2,"3jPNfiRYdu-tlJM4OGF3og"
11,0,2,8,5,"NqmdaI1GX8LOTRYlMGlTsw"
33,7,15,41,14,"L5387MoRyx9orlRyYfCSPA"
0,0,0,0,0,"8BUJXN2fU15kclyTA3KhAw"
17,30,49,75,21,"dHDi4wCcjsOR6vcZ8oOIoA"
17,8,30,36,19,"hHUxynhRliO0rdjgPYesOw"
7,0,2,7,2,"AcD5G-u_GvLSnL4Vppq80A"
26,18,29,46,27,"41CXLCeB8z2oNdIOvnrzIA"
0,0,0,0,0,"F1dtFd0GnSioCfIo4gAtkw"
4,0,1,2,3,"YKQ09HGeV3_oiKp8NK7Zqg"
20,0,8,26,2,"NL1zxchs_XJPTdCQ-jqPDw"
0,2,5,6,1,"l2gPB9mqiHSbpwSUa7zrjg"
1,0,2,3,0,"gfpl_GyyY5uj6zJnIdzImQ"
23,2,12,31,6,"l-OmDgEd4QkZpyXVpkp2yA"
10,21,42,60,13,"0FgwBx7pgmNdUtsd_T8UYQ"
6,8,11,22,3,"SzHTdZR3yY1WBYUxkVxmUQ"
2,22,7,19,12,"WzQrtfz7DSQEv2CK82zhcg"
51,0,25,50,26,"gFT2yXDXJ1qfuGOSfSU5Bw"
46,0,0,40,6,"cg8b1FGcl-Sytfa8UlCcjg"
65,0,16,63,18,"UQSGL98JH8346Uv9B9Ec0g"
26,10,63,74,25,"kj3qws3WSMgOotUeACSdFA"
16,12,29,47,10,"uILvDDCgw63_KJsZMO9GvA"
54,0,5,48,11,"xgcZN3F2f9LxLASQK_xzhw"
12,0,1,10,3,"_aGVicux2dJm9sqzLSCJtg"
68,64,242,296,78,"XY3sN_2uusMSU9i1WINFeg"
51,2,7,45,15,"uUorjstNslr3gkIsVGtQAg"
2,2,1,4,1,"0Lsd35rHY6UtPFHjjxJ1LA"
17,1,2,15,5,"Z_6hNWPNC0O-IVZ5m3kBtg"
8,0,1,6,3,"Bza-l75OiKcMRmTYILpyfQ"
5,0,2,6,1,"-TSFapUMwdyyxoi2egkOhw"
0,0,0,0,0,"ky28rk4PPr-d-PvTnmneIQ"
8,4,14,25,1,"-nfzEVOVvmDSFbxvBsllGQ"
28,0,0,19,9,"HmG9zkBtRwttGE291q9b6g"
4,4,17,20,5,"AehuBK7aJZM76mAmQ7KL2w"
34,20,11,46,19,"2bBxE8pEbLBETejCi_aBeg"
2,1,2,3,2,"1E53rS8afK2jiLod8Jwy7A"
26,0,2,23,5,"tyXvO1G2qK3MUfaap30auw"
331,1,54,292,94,"niW0ggRVPW5fafcfImdK7w"
1,2,12,13,2,"Kro5LncwNKtp3ozb8DVvng"
2,0,1,2,1,"qCpd4c57U0LI7LKdAsCPbQ"
33,3,1,31,6,"AH1PrZQDIdjpKgy1z8XxUg"
47,0,27,67,7,"TASUnYvk_nvTUyKtroCJSA"
78,35,85,138,60,"XmdTkxKyJd7TuDLoiic1kg"
14,31,13,52,6,"nBl_NeArpL08MpoghDiA_A"
59,0,10,49,20,"J011r7mUV1QhgLJ7GkrtMw"
84,61,78,165,58,"A38wziZJdYoijhC5S6uWCQ"
192,16,88,248,48,"z4cguIVh7jL9tTPf5EqRcA"
1,0,2,1,2,"UjVUYZDmnTcWfEUvSRxTSg"
104,48,57,169,40,"bWWrrsPWuoHuAGUCgH8Tyg"
46,8,69,97,26,"-KQ283hJkBO12u8XOrlCcQ"
13,19,18,40,10,"SvoJ3Y3uqDfB4iGUaWXh8Q"
0,9,4,11,2,"CoeLG9kcKiJQL3TfuAjQUg"
17,62,93,171,1,"6xEl2PDJulIp1PfWqa7-aA"
9,0,8,15,2,"h5zKLqoNlMozvxdkRzSiYQ"
6,1,8,11,4,"Lm_mR5xDF91OeZw97ch41g"
8,1,2,11,0,"aj4XHn7jZ48euP4g8ape-Q"
189,2,44,165,70,"E_-4Y9vn-u-dPgp33TLRUQ"
1,21,11,32,1,"3G8_qVxaTkkO5b70_H8YDA"
3,2,2,5,2,"KnlNwiIELDWAR686Bk2WJg"
17,12,21,34,16,"XzaJf6WzpU7RsXTXzx72Xg"
5,0,2,6,1,"OmAWp8kUqXrW0umGdZgNUg"
26,1,3,26,4,"Msfys8NloDpAsWmhvC9T6A"
13,5,4,18,4,"PTS4MxQel-xzj5qWxVn3LQ"
2,0,4,4,2,"HzZmhlRNLtPkMI0egh9Oig"
5,1,9,11,4,"IvgKdlte_JNdd17XRxkOrg"
20,0,6,26,0,"xAtaxa8D7Sv58q94OMaNCA"
5,3,9,11,6,"bDK_jzy3Shx7jfn8_plNoA"
30,13,13,43,13,"PhIGoo9g6GBrqgH_6yZXXQ"
37,17,37,62,29,"uBW3PIKqc-_eyG1_vdJn1w"
15,1,4,15,5,"zczKkfpjz510tZK0SnHYDQ"
46,0,16,58,4,"DsxLIr-b6WlDn9YNsVBu_A"
16,1,2,18,1,"JrHGyyojkdJqc8pD8I3GEA"
5,7,10,12,10,"FD6OocZdFUfE2J5H0WN4fA"
21,25,26,49,23,"LN3OCT1xOedbf65xKzFSNw"
8,0,3,10,1,"CW4Qx9vk9D1o47Qgld5PLA"
2,40,46,79,9,"tQpYnf3P3Q_OQLYYJvlV-A"
26,0,20,36,10,"KH6stvNdq_aV0HvKw8P5yA"
4,2,3,6,3,"nUISXnW2Jo9ovnoFBIUY_Q"
89,26,75,146,44,"dxCqGkhtXq-9fYEsX7Mf6Q"
114,100,29,176,67,"--UE_y6auTgq3FXlvUMkbw"
13,2,17,25,7,"YTqSkgOiiI9HG3hNH7ovfg"
73,67,88,201,27,"vgXE1I7c9ElcfYyZfQiN1Q"
14,67,29,90,20,"-Nanlb7SYXObqQ6dZ49UOg"
22,22,15,39,20,"DiPbxquQQHSgz123I27Drg"
3,4,8,11,4,"3_3yJMo2dTPeq8woOW69IA"
11,62,29,81,21,"3zgswf_NfBJpeAoWeTkgMA"
16,4,19,23,16,"uOwuJJhGaiAzuaDY7-o14g"
17,0,3,11,9,"kel3Wb4pLYL0l2_QujLOWg"
22,24,43,71,18,"7XXmky6YYjsvKFwho_eavg"
40,7,2,41,8,"o_wRqOpli9kyZGXlJtLLdA"
11,12,26,33,16,"5MChfa-jZfMo3vBpolkSbw"
40,39,70,111,38,"sxeuOMBRllOHXJTaUlI9kQ"
5,17,24,35,11,"ptmsW2SSeFD2I6vspJs0lQ"
42,62,55,126,33,"r8jeeS3k_diihMDSu9IjlA"
10,0,2,7,5,"3OViesv3-RkPDyvdxW16sg"
28,1,11,33,7,"cKtBFMESwsUWxTv6QjkTGQ"
6,1,12,18,1,"cH8I7JgPXcrcutT1a3YrjQ"
8,0,3,8,3,"DEH4worm2017xT3KHLoyAw"
0,9,9,13,5,"dQjaHoo89bLymdMm4S5_1g"
28,1,29,46,12,"gCiKiqPGAC_ZVt5bBcwnrw"
13,1,2,14,2,"rbg3POnoegWx0RQ0KGd0sA"
2,1,1,4,0,"UjJMQguryo1jypomvOCZgg"
6,3,11,15,5,"dpRsK3JyaD3GKorVWzQUmA"
12,4,5,18,3,"vWnwaD-kykqiEc2Q0hbYsw"
3,1,1,5,0,"T4D7wX6GuCYChwRmser-0A"
4,12,14,19,11,"cESul2ojJOjadz-7BKB5eg"
3,0,2,3,2,"xUf11yTcoRagwNiJcY8GAA"
12,5,15,23,9,"hbFCv2Rginf9zjai-lKUNg"
1,1,5,6,1,"vs3UrHaSnzFOxmFU2UAfxQ"
24,56,118,153,45,"6-rJjW6ITl5o_FliiNgZRA"
56,35,78,135,34,"mPlWLIA4pkHMRtlQDm6UyQ"
6,7,21,26,8,"sa3xqElJEv97MazozLeszw"
7,0,4,11,0,"tDGZPb1XIR5yGCL7pNwU4g"
41,2,19,44,18,"MkrQV_nyxyC1F5ut5KxDMQ"
9,0,14,17,6,"KZlFb1qDi8YSZJH2A2Nn3A"
0,0,0,0,0,"i5bPwhPg6GqXvWMdl8a_SA"
6,4,1,8,3,"7FRn0CFWQmZFu8bcEqrXMw"
8,5,38,32,19,"1RV8xKft7cvG-OjED8_RIg"
12,64,37,99,14,"jJfTh2O3M2Q716akd9Dr9w"
2,3,2,6,1,"3obPG5F_6rbAu86CuiNW4g"
13,5,10,22,6,"jLgIlhi_A78JG-43C8e63Q"
0,3,9,12,0,"mugOAOmylJu5p85Jz_zqOQ"
3,0,1,2,2,"IrI9nBmRKIGFYnnmrHeqtQ"
80,10,69,128,31,"NaRkccIbBE3gt-3fne_bDA"
4,0,5,8,1,"MAg0VhVZ-zU3Ug7dvL3tCQ"
3,5,15,21,2,"oItmTIocKzvXlLgJhzQ5qw"
11,1,1,7,6,"yeOblic0w0FOlXwMhuGjwA"
45,5,9,48,11,"DJKpwLp4mISNDNDpNz67tw"
4,1,0,2,3,"7f7P9SCQgBRSMYXbsnDGDQ"
4,1,2,7,0,"yp4Erq_kG7Zi6Bssc07Oxg"
130,48,97,186,89,"1qUYk564SajvwTtkNM6KJA"
32,12,37,49,32,"2sNSF2ttXEQKV7gADC6-Pw"
9,1,6,12,4,"bbfdJ1dkwWNww1m_SfyDnQ"
5,176,238,307,112,"9SPwF-vRgtuHxciFxv5YLA"
1,49,75,122,3,"Cy9XgM3ZG2jZ1ganvolb6Q"
51,3,2,42,14,"LHyGQnuWR2q44bsrw1ZLAg"
76,274,209,400,159,"rgmptwPbBH1wLpiBHcbIhA"
5,0,2,4,3,"NUohh--5lVY8pu61uy9oEw"
104,2,203,209,100,"20DyG_lwW8ymzA-0dhQpsA"
11,10,11,22,10,"uXuiI-Y998JChGn-ebcSdw"
39,66,70,131,44,"i_nkxbd7feg44QkdbG05UA"
3,0,3,5,1,"eDWRhZxP_hUrgLgVZXlcuw"
36,3,26,54,11,"17Zp0inFGLaQsxMBapdh4Q"
8,69,44,90,31,"vSZDiKiF8vf9zt_BcDL7GQ"
36,44,31,80,31,"DkX3YoxhH4uADsgVgQThew"
77,1,28,76,30,"yWVY1Bq19lDxu3BP7_96EQ"
112,13,61,123,63,"yYyWwqPiLJO7eWRt0g_PBg"
79,0,9,50,38,"sQWSHCIH_HUT4HUXaxDaBA"
5,1,1,6,1,"Ig74RHJuf1DbDmJNWQ-HpQ"
34,8,25,45,22,"jwxhi--674LLCnvqJL7SRQ"
7,0,1,6,2,"rUQfZOengMpXFkLvJrNJ3g"
7,2,17,17,9,"GRrvJchtxskNDsGYUPPzzg"
0,6,1,6,1,"UnxC_75OQ3hS4bB_onepOw"
243,164,286,446,247,"Tfysaq2SdZAc5_TyPpuyLA"
8,0,4,5,7,"S0Sx_pYkZbneeQzxLm9MnA"
9,0,5,12,2,"bcJ005JZRd4tkNb7i6oynA"
25,2,32,45,14,"4q2nThFVuU3BZoEMkYQ1yg"
0,12,6,16,2,"Oq5MyNxNi-xuXdPOWR9O_g"
26,5,30,48,13,"Lgyc-00L5pAELhjwUjAz-w"
5,0,3,5,3,"-XU3QZBluANMAvzS9xGQAg"
4,1,2,4,3,"_iZjif9s-jF_Oju_1fhVog"
34,47,78,132,27,"xgK6AAhJ-cYBUCSaLzgTuw"
19,4,18,32,9,"Z-BI5HJmC2HcpiVuXwVM3A"
8,0,3,8,3,"R27IDAXpEPNGqCQ4uztrPQ"
2,0,1,3,0,"rYdzYIpVH_75GlHaj_ZfEg"
